TaskID,Type,Title,Duration,Resources,Expected Start,Expected End,Pred 1,Pred 2,Pred 3,Pred 4,Pred 5,Pred 6,Comments,Dur Week,Dur Day,Week Pad,Pre WE,1st WE,Rev Dur,Comment 2,End 1,End 2,End 3,End 4,End 5,End 6,Max End
1,,Preconstruction,5,,12/26/2011,12/30/2011,,,,,,,,0,0,0,5,0,4,,,,,,,,
110,Construct,Level 1: Floor Slab / Foundations,10,,1/2/2012,1/13/2012,1,,,,,,,1,0,0,5,2,11,,12/30/2011,,,,,,12/30/2011
120A,Construct,Level 1A: Columns,2,,1/16/2012,1/17/2012,110,,,,,,,-1,2,0,5,0,1,,1/13/2012,,,,,,1/13/2012
120B,Construct,Level 1B: Columns,2,,1/18/2012,1/19/2012,120A,,,,,,,-1,4,0,3,0,1,,1/17/2012,,,,,,1/17/2012
120C,Construct,Level 1C: Columns,2,,1/20/2012,1/23/2012,120B,,,,,,,0,1,0,1,2,3,,1/19/2012,,,,,,1/19/2012
130A,Construct,Level 1A: Beams,3,,1/18/2012,1/20/2012,120A,,,,,,,0,0,0,3,0,2,,1/17/2012,,,,,,1/17/2012
130B,Construct,Level 1B: Beams,3,,1/23/2012,1/25/2012,120B,130A,,,,,,-1,3,0,5,0,2,,1/19/2012,1/20/2012,,,,,1/20/2012
130C,Construct,Level 1C: Beams,3,,1/26/2012,1/30/2012,120C,130B,,,,,,0,1,0,2,2,4,,1/23/2012,1/25/2012,,,,,1/25/2012
140A,Construct,Level 1A: Joists,3,,1/23/2012,1/25/2012,130A,,,,,,,-1,3,0,5,0,2,,1/20/2012,,,,,,1/20/2012
140B,Construct,Level 1B: Joists,3,,1/26/2012,1/30/2012,130B,140A,,,,,,0,1,0,2,2,4,,1/25/2012,1/25/2012,,,,,1/25/2012
140C,Construct,Level 1C: Joists,3,,1/31/2012,2/2/2012,130C,140B,,,,,,-1,4,0,4,0,2,,1/30/2012,1/30/2012,,,,,1/30/2012
150,Construct,Level 1: Exterior Walls-Core,4,,2/3/2012,2/8/2012,140C,,,,,,,0,3,0,1,2,5,,2/2/2012,,,,,,2/2/2012
151,Construct,Level 1: Exterior Walls-EIFS,3,,2/9/2012,2/13/2012,150,,,,,,,0,1,0,2,2,4,,2/8/2012,,,,,,2/8/2012
152,Construct,Level 1: Exterior Walls-Interior Finish,3,,4/6/2012,4/10/2012,151,420,,,,,,0,2,0,1,2,4,,2/13/2012,4/5/2012,,,,,4/5/2012
210,Construct,Level 2: Floor Deck,5,,2/3/2012,2/9/2012,140C,,,,,,,0,4,0,1,2,6,,2/2/2012,,,,,,2/2/2012
220A,Construct,Level 2A: Columns,2,,2/10/2012,2/13/2012,210,,,,,,,0,2,0,0,2,3,,2/9/2012,,,,,,2/9/2012
220B,Construct,Level 2B: Columns,2,,2/14/2012,2/15/2012,220A,,,,,,,-1,4,0,3,0,1,,2/13/2012,,,,,,2/13/2012
220C,Construct,Level 2C: Columns,2,,2/16/2012,2/19/2012,220B,,,,,,,0,1,0,1,2,3,,2/15/2012,,,,,,2/15/2012
230A,Construct,Level 2A: Beams,3,,2/14/2012,2/16/2012,220A,,,,,,,0,0,0,3,0,2,,2/13/2012,,,,,,2/13/2012
230B,Construct,Level 2B: Beams,3,,2/17/2012,2/21/2012,220B,230A,,,,,,0,3,0,0,2,4,,2/15/2012,2/16/2012,,,,,2/16/2012
230C,Construct,Level 2C: Beams,3,,2/22/2012,2/26/2012,220C,230B,,,,,,0,1,0,2,2,4,,2/19/2012,2/21/2012,,,,,2/21/2012
240A,Construct,Level 2A: Joists,3,,2/14/2012,2/16/2012,220A,,,,,,,0,0,0,3,0,2,,2/13/2012,,,,,,2/13/2012
240B,Construct,Level 2B: Joists,3,,2/17/2012,2/21/2012,220B,240A,,,,,,0,3,0,0,2,4,,2/15/2012,2/16/2012,,,,,2/16/2012
240C,Construct,Level 2C: Joists,3,,2/27/2012,2/29/2012,230C,240B,,,,,,-1,4,0,4,0,2,,2/26/2012,2/21/2012,,,,,2/26/2012
250,Construct,Level 2: Exterior Walls-Core,4,,3/1/2012,3/6/2012,240C,,,,,,,0,3,0,1,2,5,,2/29/2012,,,,,,2/29/2012
251,Construct,Level 2: Exterior Walls-EIFS,3,,3/7/2012,3/11/2012,250,,,,,,,0,1,0,2,2,4,,3/6/2012,,,,,,3/6/2012
252,Construct,Level 2: Exterior Walls-Interior Finish,3,,4/11/2012,4/15/2012,251,152,420,,,,,0,1,0,2,2,4,,3/11/2012,4/10/2012,4/5/2012,,,,4/10/2012
310,Construct,Level 3: Floor Deck,5,,3/1/2012,3/7/2012,240C,,,,,,,0,4,0,1,2,6,,2/29/2012,,,,,,2/29/2012
320A,Construct,Level 3A: Columns,2,,3/8/2012,3/11/2012,310,,,,,,,0,1,0,1,2,3,,3/7/2012,,,,,,3/7/2012
320B,Construct,Level 3B: Columns,2,,3/12/2012,3/13/2012,320A,,,,,,,-1,3,0,4,0,1,,3/11/2012,,,,,,3/11/2012
320C,Construct,Level 3C: Columns,2,,3/14/2012,3/15/2012,320B,,,,,,,0,0,0,2,0,1,,3/13/2012,,,,,,3/13/2012
330A,Construct,Level 3A: Beams,3,,3/12/2012,3/14/2012,320A,,,,,,,-1,4,0,4,0,2,,3/11/2012,,,,,,3/11/2012
330B,Construct,Level 3B: Beams,3,,3/15/2012,3/19/2012,320B,330A,,,,,,0,2,0,1,2,4,,3/13/2012,3/14/2012,,,,,3/14/2012
330C,Construct,Level 3C: Beams,3,,3/20/2012,3/22/2012,320C,330B,,,,,,0,0,0,3,0,2,,3/15/2012,3/19/2012,,,,,3/19/2012
340A,Construct,Level 3A: Joists,3,,3/15/2012,3/19/2012,330A,,,,,,,0,2,0,1,2,4,,3/14/2012,,,,,,3/14/2012
340B,Construct,Level 3B: Joists,3,,3/20/2012,3/22/2012,330B,340A,,,,,,0,0,0,3,0,2,,3/19/2012,3/19/2012,,,,,3/19/2012
340C,Construct,Level 3C: Joists,3,,3/23/2012,3/27/2012,330C,340B,,,,,,0,3,0,0,2,4,,3/22/2012,3/22/2012,,,,,3/22/2012
350,Construct,Level 3: Exterior Walls-Core,4,,3/28/2012,4/2/2012,340C,,,,,,,0,2,0,2,2,5,,3/27/2012,,,,,,3/27/2012
351,Construct,Level 3: Exterior Walls-EIFS,3,,4/3/2012,4/5/2012,350,,,,,,,0,0,0,3,0,2,,4/2/2012,,,,,,4/2/2012
352,Construct,Level 3: Exterior Walls-Interior Finish,3,,4/16/2012,4/18/2012,351,252,420,,,,,-1,4,0,4,0,2,,4/5/2012,4/15/2012,4/5/2012,,,,4/15/2012
410,Construct,Level 4: Roof-Core,4,,3/28/2012,4/2/2012,340C,,,,,,,0,2,0,2,2,5,,3/27/2012,,,,,,3/27/2012
420,Construct,Level 4: Roof-Finish,3,,4/3/2012,4/5/2012,410,,,,,,,0,0,0,3,0,2,,4/2/2012,,,,,,4/2/2012
510,Construct,All: Stairs,10,,3/8/2012,3/21/2012,330,,,,,,,1,4,2,1,2,13,,3/7/2012,,,,,,3/7/2012
610A,Construct,Level 1: Windows and Exterior Doors,3,,4/10/2012,4/12/2012,151,710A,,,,,,0,0,0,3,0,2,,2/13/2012,4/9/2012,,,,,4/9/2012
610B,Construct,Level 2: Windows and Exterior Doors,3,,4/13/2012,4/17/2012,251,610A,,,,,,0,3,0,0,2,4,,3/11/2012,4/12/2012,,,,,4/12/2012
610C,Construct,Level 3: Windows and Exterior Doors,3,,4/18/2012,4/22/2012,351,610B,,,,,,0,1,0,2,2,4,,4/5/2012,4/17/2012,,,,,4/17/2012
620A,Construct,Level 1: Interior Doors,3,,4/23/2012,4/25/2012,910A,,,,,,,-1,4,0,4,0,2,,4/20/2012,,,,,,4/20/2012
620B,Construct,Level 2: Interior Doors,3,,5/1/2012,5/3/2012,910B,620A,,,,,,0,0,0,3,0,2,,4/30/2012,4/25/2012,,,,,4/30/2012
620C,Construct,Level 3: Interior Doors,3,,5/9/2012,5/13/2012,910C,620B,,,,,,0,1,0,2,2,4,,5/8/2012,5/3/2012,,,,,5/8/2012
710A,Construct,Level 1: Curtain Walls,4,,4/3/2012,4/9/2012,151,410,,,,,,0,1,0,3,2,6,,2/13/2012,4/2/2012,,,,,4/2/2012
710B,Construct,Level 2: Curtain Walls,4,,4/10/2012,4/16/2012,251,710A,,,,,,0,1,0,3,2,6,,3/11/2012,4/9/2012,,,,,4/9/2012
710C,Construct,Level 3: Curtain Walls,4,,4/17/2012,4/23/2012,351,710B,,,,,,0,1,0,3,2,6,,4/5/2012,4/16/2012,,,,,4/16/2012
810,Construct,All: Railings,5,,3/22/2012,3/29/2012,510,,,,,,,0,4,0,1,2,7,,3/21/2012,,,,,,3/21/2012
